고객번호,계기번호,날짜,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,합계(kWh)
342464719,67190110861,2024.01.11,,,,0.24,,,,0.19,,,,0.16,,,,0.13,,,,0.15,,,,0.43,,,,0.88,,,,1.24,,,,1.13,,,,0.7,,,,0.52,,,,0.5,,,,0.53,,,,0.46,,,,0.46,,,,0.58,,,,0.82,,,,1.17,,,,1.52,,,,1.2,,,,1.3,,,,1.17,,,,0.57,,,,0.4,16.45
342464719,67190110861,2024.01.12,,,,0.24,,,,0.2,,,,0.16,,,,0.14,,,,0.16,,,,0.35,,,,0.92,,,,1.16,,,,1.08,,,,0.73,,,,0.56,,,,0.51,,,,0.56,,,,0.5,,,,0.55,,,,0.59,,,,0.87,,,,1.06,,,,1.47,,,,1.21,,,,1.3,,,,0.89,,,,0.65,,,,0.43,16.29
342464719,67190110861,2024.01.13,,,,0.2,,,,0.19,,,,0.13,,,,0.12,,,,0.19,,,,0.33,,,,0.72,,,,1.04,,,,1.14,,,,0.54,,,,0.57,,,,0.45,,,,0.46,,,,0.49,,,,0.57,,,,0.6,,,,0.8,,,,1.33,,,,1.47,,,,1.32,,,,1.36,,,,0.96,,,,0.63,,,,0.35,15.96
342464719,67190110861,2024.01.14,,,,0.18,,,,0.21,,,,0.17,,,,0.15,,,,0.18,,,,0.34,,,,0.83,,,,1.05,,,,1.12,,,,0.72,,,,0.59,,,,0.5,,,,0.63,,,,0.54,,,,0.57,,,,0.56,,,,0.72,,,,1.08,,,,1.46,,,,1.6,,,,1.07,,,,0.96,,,,0.59,,,,0.35,16.17
342464719,67190110861,2024.01.15,,,,0.24,,,,0.2,,,,0.15,,,,0.13,,,,0.17,,,,0.39,,,,0.78,,,,1.09,,,,0.98,,,,0.68,,,,0.58,,,,0.46,,,,0.5,,,,0.51,,,,0.54,,,,0.65,,,,0.8,,,,1.04,,,,1.42,,,,1.47,,,,1.13,,,,1.11,,,,0.79,,,,0.41,16.22
342464719,67190110861,2024.01.16,,,,0.2,,,,0.18,,,,0.15,,,,0.14,,,,0.19,,,,0.36,,,,0.97,,,,1.2,,,,0.92,,,,0.54,,,,0.47,,,,0.41,,,,0.45,,,,0.49,,,,0.44,,,,0.55,,,,0.78,,,,0.95,,,,1.56,,,,1.29,,,,1.11,,,,1.08,,,,0.64,,,,0.47,15.54
342464719,67190110861,2024.01.17,,,,0.22,,,,0.19,,,,0.14,,,,0.12,,,,0.18,,,,0.39,,,,0.98,,,,0.96,,,,0.98,,,,0.66,,,,0.52,,,,0.61,,,,0.55,,,,0.5,,,,0.55,,,,0.58,,,,0.67,,,,1.29,,,,1.4,,,,1.49,,,,1.2,,,,1.16,,,,0.67,,,,0.33,16.34
342464719,67190110861,2024.01.18,,,,0.24,,,,0.15,,,,0.14,,,,0.15,,,,0.19,,,,0.36,,,,0.89,,,,1.05,,,,0.91,,,,0.6,,,,0.58,,,,0.55,,,,0.54,,,,0.54,,,,0.49,,,,0.57,,,,0.64,,,,1.17,,,,1.42,,,,1.52,,,,1.18,,,,0.84,,,,0.59,,,,0.42,15.73
342464719,67190110861,2024.01.19,,,,0.21,,,,0.16,,,,0.13,,,,0.13,,,,0.15,,,,0.39,,,,0.93,,,,0.9,,,,0.83,,,,0.64,,,,0.55,,,,0.5,,,,0.58,,,,0.58,,,,0.59,,,,0.59,,,,0.67,,,,0.98,,,,1.55,,,,1.41,,,,1.18,,,,1.19,,,,0.56,,,,0.38,15.78
342464719,67190110861,2024.01.20,,,,0.17,,,,0.17,,,,0.13,,,,0.12,,,,0.15,,,,0.36,,,,0.9,,,,1.13,,,,1.13,,,,0.6,,,,0.51,,,,0.58,,,,0.45,,,,0.56,,,,0.46,,,,0.63,,,,0.65,,,,1.27,,,,1.52,,,,1.58,,,,1.11,,,,0.97,,,,0.73,,,,0.42,16.3
342464719,67190110861,2024.01.21,,,,0.24,,,,0.19,,,,0.15,,,,0.15,,,,0.17,,,,0.43,,,,0.77,,,,1.05,,,,1.18,,,,0.72,,,,0.56,,,,0.55,,,,0.49,,,,0.45,,,,0.53,,,,0.58,,,,0.79,,,,1.09,,,,1.77,,,,1.69,,,,1.38,,,,1.05,,,,0.67,,,,0.46,17.11
342464719,67190110861,2024.01.22,,,,0.23,,,,0.16,,,,0.17,,,,0.17,,,,0.21,,,,0.4,,,,0.93,,,,1.09,,,,1.16,,,,0.75,,,,0.48,,,,0.45,,,,0.49,,,,0.58,,,,0.63,,,,0.52,,,,0.76,,,,1.12,,,,1.78,,,,1.61,,,,1.46,,,,1.05,,,,0.69,,,,0.37,17.26
342464719,67190110861,2024.01.23,,,,0.18,,,,0.19,,,,0.16,,,,0.15,,,,0.2,,,,0.36,,,,0.93,,,,1.22,,,,1.11,,,,0.57,,,,0.56,,,,0.45,,,,0.55,,,,0.5,,,,0.49,,,,0.55,,,,0.81,,,,1.03,,,,1.37,,,,1.37,,,,1.25,,,,1.12,,,,0.69,,,,0.42,16.23
342464719,67190110861,2024.01.24,,,,0.2,,,,0.18,,,,0.17,,,,0.14,,,,0.16,,,,0.32,,,,0.93,,,,1.06,,,,1.04,,,,0.58,,,,0.51,,,,0.43,,,,0.48,,,,0.5,,,,0.5,,,,0.53,,,,0.83,,,,1.1,,,,1.47,,,,1.43,,,,1.21,,,,0.96,,,,0.72,,,,0.45,15.9
342464719,67190110861,2024.01.25,,,,0.19,,,,0.21,,,,0.15,,,,0.13,,,,0.17,,,,0.42,,,,0.87,,,,1.05,,,,0.99,,,,0.61,,,,0.5,,,,0.47,,,,0.47,,,,0.44,,,,0.46,,,,0.6,,,,0.66,,,,1.09,,,,1.71,,,,1.34,,,,1.3,,,,0.92,,,,0.61,,,,0.34,15.7
342464719,67190110861,2024.01.26,,,,0.19,,,,0.16,,,,0.13,,,,0.12,,,,0.15,,,,0.38,,,,0.8,,,,1.07,,,,1.0,,,,0.69,,,,0.49,,,,0.56,,,,0.53,,,,0.39,,,,0.61,,,,0.64,,,,0.63,,,,1.04,,,,1.7,,,,1.56,,,,1.1,,,,0.95,,,,0.64,,,,0.4,15.93
342464719,67190110861,2024.01.27,,,,0.21,,,,0.17,,,,0.15,,,,0.16,,,,0.15,,,,0.32,,,,0.93,,,,1.19,,,,1.01,,,,0.66,,,,0.5,,,,0.54,,,,0.49,,,,0.47,,,,0.5,,,,0.57,,,,0.61,,,,1.1,,,,1.34,,,,1.27,,,,1.13,,,,1.17,,,,0.69,,,,0.42,15.75
342464719,67190110861,2024.01.28,,,,0.24,,,,0.18,,,,0.15,,,,0.14,,,,0.19,,,,0.43,,,,0.89,,,,1.03,,,,0.95,,,,0.63,,,,0.64,,,,0.58,,,,0.52,,,,0.59,,,,0.58,,,,0.57,,,,0.66,,,,1.1,,,,1.48,,,,1.28,,,,1.17,,,,0.98,,,,0.65,,,,0.46,16.09
342464719,67190110861,2024.01.29,,,,0.19,,,,0.2,,,,0.15,,,,0.16,,,,0.16,,,,0.38,,,,0.98,,,,1.21,,,,1.17,,,,0.62,,,,0.54,,,,0.58,,,,0.63,,,,0.53,,,,0.57,,,,0.54,,,,0.87,,,,1.01,,,,1.47,,,,1.39,,,,1.33,,,,0.98,,,,0.6,,,,0.42,16.68
342464719,67190110861,2024.01.30,,,,0.2,,,,0.19,,,,0.13,,,,0.13,,,,0.17,,,,0.31,,,,0.82,,,,0.92,,,,0.81,,,,0.71,,,,0.54,,,,0.57,,,,0.46,,,,0.51,,,,0.57,,,,0.61,,,,0.73,,,,1.09,,,,1.46,,,,1.52,,,,1.4,,,,1.14,,,,0.59,,,,0.42,16.0
342464719,67190110861,2024.01.31,,,,0.24,,,,0.16,,,,0.13,,,,0.16,,,,0.19,,,,0.41,,,,0.78,,,,1.15,,,,0.89,,,,0.57,,,,0.5,,,,0.6,,,,0.52,,,,0.49,,,,0.53,,,,0.62,,,,0.72,,,,1.34,,,,1.39,,,,1.33,,,,1.22,,,,0.95,,,,0.7,,,,0.38,15.97
342464719,67190110861,2024.02.01,,,,0.2,,,,0.2,,,,0.14,,,,0.14,,,,0.2,,,,0.37,,,,0.78,,,,1.21,,,,1.02,,,,0.61,,,,0.48,,,,0.57,,,,0.54,,,,0.48,,,,0.58,,,,0.59,,,,0.63,,,,1.09,,,,1.31,,,,1.53,,,,1.04,,,,1.01,,,,0.71,,,,0.44,15.87
342464719,67190110861,2024.02.02,,,,0.2,,,,0.2,,,,0.13,,,,0.15,,,,0.15,,,,0.36,,,,0.92,,,,0.93,,,,0.89,,,,0.66,,,,0.58,,,,0.54,,,,0.57,,,,0.5,,,,0.49,,,,0.52,,,,0.64,,,,1.31,,,,1.51,,,,1.35,,,,1.33,,,,1.13,,,,0.6,,,,0.4,16.06
342464719,67190110861,2024.02.03,,,,0.2,,,,0.18,,,,0.12,,,,0.14,,,,0.18,,,,0.4,,,,0.89,,,,1.21,,,,1.04,,,,0.6,,,,0.57,,,,0.54,,,,0.49,,,,0.5,,,,0.56,,,,0.59,,,,0.74,,,,1.05,,,,1.66,,,,1.47,,,,1.09,,,,1.16,,,,0.69,,,,0.38,16.45
342464719,67190110861,2024.02.04,,,,0.24,,,,0.19,,,,0.13,,,,0.14,,,,0.19,,,,0.34,,,,0.85,,,,1.08,,,,1.12,,,,0.75,,,,0.56,,,,0.53,,,,0.55,,,,0.5,,,,0.49,,,,0.61,,,,0.71,,,,1.08,,,,1.55,,,,1.53,,,,1.51,,,,1.03,,,,0.73,,,,0.44,16.85
342464719,67190110861,2024.02.05,,,,0.18,,,,0.19,,,,0.14,,,,0.16,,,,0.16,,,,0.39,,,,0.8,,,,1.23,,,,1.02,,,,0.69,,,,0.54,,,,0.6,,,,0.5,,,,0.58,,,,0.48,,,,0.56,,,,0.71,,,,1.22,,,,1.59,,,,1.25,,,,1.5,,,,1.08,,,,0.68,,,,0.4,16.65
342464719,67190110861,2024.02.06,,,,0.2,,,,0.18,,,,0.13,,,,0.12,,,,0.19,,,,0.41,,,,0.86,,,,1.0,,,,1.12,,,,0.64,,,,0.48,,,,0.46,,,,0.55,,,,0.51,,,,0.47,,,,0.49,,,,0.71,,,,1.23,,,,1.31,,,,1.19,,,,1.4,,,,0.93,,,,0.68,,,,0.35,15.61
342464719,67190110861,2024.02.07,,,,0.18,,,,0.16,,,,0.17,,,,0.16,,,,0.19,,,,0.34,,,,0.89,,,,0.98,,,,0.94,,,,0.73,,,,0.49,,,,0.44,,,,0.46,,,,0.42,,,,0.43,,,,0.57,,,,0.72,,,,1.29,,,,1.61,,,,1.37,,,,1.15,,,,1.0,,,,0.71,,,,0.37,15.77
342464719,67190110861,2024.02.08,,,,0.21,,,,0.18,,,,0.15,,,,0.13,,,,0.16,,,,0.42,,,,0.96,,,,0.94,,,,1.1,,,,0.6,,,,0.61,,,,0.58,,,,0.49,,,,0.41,,,,0.48,,,,0.56,,,,0.78,,,,1.05,,,,1.3,,,,1.49,,,,1.43,,,,1.06,,,,0.6,,,,0.37,16.06
342464719,67190110861,2024.02.09,,,,0.18,,,,0.2,,,,0.13,,,,0.14,,,,0.17,,,,0.38,,,,0.9,,,,1.2,,,,0.92,,,,0.55,,,,0.5,,,,0.59,,,,0.58,,,,0.49,,,,0.49,,,,0.57,,,,0.66,,,,1.29,,,,1.44,,,,1.39,,,,1.23,,,,0.83,,,,0.6,,,,0.42,15.85
342464719,67190110861,2024.02.10,,,,0.18,,,,0.18,,,,0.14,,,,0.13,,,,0.16,,,,0.33,,,,0.92,,,,0.95,,,,1.09,,,,0.65,,,,0.56,,,,0.58,,,,0.55,,,,0.44,,,,0.44,,,,0.49,,,,0.81,,,,0.97,,,,1.46,,,,1.37,,,,1.22,,,,1.07,,,,0.56,,,,0.34,15.59
342464719,67190110861,2024.02.11,,,,0.24,,,,0.19,,,,0.17,,,,0.14,,,,0.16,,,,0.41,,,,0.97,,,,1.19,,,,0.94,,,,0.7,,,,0.55,,,,0.46,,,,0.59,,,,0.46,,,,0.61,,,,0.58,,,,0.73,,,,1.21,,,,1.69,,,,1.61,,,,1.46,,,,1.11,,,,0.71,,,,0.47,17.35
342464719,67190110861,2024.02.12,,,,0.21,,,,0.19,,,,0.14,,,,0.15,,,,0.2,,,,0.33,,,,0.98,,,,1.21,,,,0.91,,,,0.66,,,,0.67,,,,0.47,,,,0.56,,,,0.45,,,,0.65,,,,0.66,,,,0.88,,,,1.15,,,,1.66,,,,1.6,,,,1.22,,,,1.18,,,,0.62,,,,0.44,17.19
342464719,67190110861,2024.02.13,,,,0.19,,,,0.17,,,,0.13,,,,0.14,,,,0.16,,,,0.38,,,,0.76,,,,0.97,,,,0.99,,,,0.68,,,,0.53,,,,0.55,,,,0.55,,,,0.51,,,,0.49,,,,0.47,,,,0.83,,,,0.96,,,,1.66,,,,1.43,,,,1.38,,,,1.09,,,,0.75,,,,0.37,16.14
342464719,67190110861,2024.02.14,,,,0.22,,,,0.17,,,,0.15,,,,0.14,,,,0.19,,,,0.41,,,,0.99,,,,1.01,,,,0.97,,,,0.7,,,,0.52,,,,0.48,,,,0.5,,,,0.44,,,,0.48,,,,0.51,,,,0.67,,,,0.96,,,,1.68,,,,1.42,,,,1.16,,,,1.1,,,,0.59,,,,0.44,15.9
342464719,67190110861,2024.02.15,,,,0.23,,,,0.15,,,,0.14,,,,0.16,,,,0.19,,,,0.36,,,,0.87,,,,0.92,,,,1.08,,,,0.57,,,,0.63,,,,0.52,,,,0.52,,,,0.49,,,,0.5,,,,0.52,,,,0.69,,,,1.0,,,,1.67,,,,1.27,,,,1.12,,,,1.23,,,,0.76,,,,0.44,16.03
342464719,67190110861,2024.02.16,,,,0.24,,,,0.16,,,,0.14,,,,0.15,,,,0.18,,,,0.32,,,,0.95,,,,0.95,,,,0.91,,,,0.63,,,,0.56,,,,0.52,,,,0.44,,,,0.52,,,,0.49,,,,0.5,,,,0.87,,,,1.27,,,,1.58,,,,1.56,,,,1.31,,,,1.05,,,,0.56,,,,0.37,16.23
342464719,67190110861,2024.02.17,,,,0.21,,,,0.17,,,,0.16,,,,0.13,,,,0.14,,,,0.33,,,,0.9,,,,0.91,,,,1.16,,,,0.66,,,,0.59,,,,0.52,,,,0.56,,,,0.45,,,,0.55,,,,0.57,,,,0.64,,,,1.26,,,,1.59,,,,1.38,,,,1.39,,,,1.13,,,,0.71,,,,0.45,16.56
342464719,67190110861,2024.02.18,,,,0.23,,,,0.19,,,,0.15,,,,0.15,,,,0.16,,,,0.44,,,,0.97,,,,0.97,,,,1.16,,,,0.59,,,,0.55,,,,0.61,,,,0.48,,,,0.58,,,,0.58,,,,0.6,,,,0.67,,,,1.13,,,,1.71,,,,1.6,,,,1.34,,,,1.02,,,,0.72,,,,0.45,17.05
342464719,67190110861,2024.02.19,,,,0.23,,,,0.16,,,,0.17,,,,0.14,,,,0.21,,,,0.36,,,,0.94,,,,1.24,,,,0.91,,,,0.73,,,,0.64,,,,0.47,,,,0.51,,,,0.54,,,,0.47,,,,0.61,,,,0.73,,,,1.28,,,,1.31,,,,1.56,,,,1.43,,,,1.15,,,,0.74,,,,0.38,16.91
342464719,67190110861,2024.02.20,,,,0.23,,,,0.15,,,,0.13,,,,0.13,,,,0.16,,,,0.38,,,,0.91,,,,0.99,,,,0.91,,,,0.71,,,,0.53,,,,0.5,,,,0.47,,,,0.52,,,,0.54,,,,0.5,,,,0.68,,,,1.18,,,,1.55,,,,1.3,,,,1.46,,,,0.91,,,,0.64,,,,0.45,15.93
342464719,67190110861,2024.02.21,,,,0.21,,,,0.18,,,,0.13,,,,0.13,,,,0.21,,,,0.35,,,,1.04,,,,1.0,,,,0.93,,,,0.55,,,,0.59,,,,0.51,,,,0.56,,,,0.48,,,,0.6,,,,0.51,,,,0.86,,,,1.28,,,,1.55,,,,1.51,,,,1.35,,,,1.09,,,,0.58,,,,0.34,16.54
342464719,67190110861,2024.02.22,,,,0.24,,,,0.19,,,,0.16,,,,0.13,,,,0.15,,,,0.34,,,,0.9,,,,1.0,,,,0.89,,,,0.6,,,,0.49,,,,0.52,,,,0.48,,,,0.54,,,,0.49,,,,0.56,,,,0.63,,,,1.02,,,,1.38,,,,1.35,,,,1.33,,,,0.94,,,,0.68,,,,0.43,15.44
342464719,67190110861,2024.02.23,,,,0.23,,,,0.15,,,,0.16,,,,0.12,,,,0.16,,,,0.42,,,,0.74,,,,1.05,,,,1.09,,,,0.67,,,,0.57,,,,0.42,,,,0.49,,,,0.5,,,,0.48,,,,0.51,,,,0.67,,,,1.0,,,,1.52,,,,1.23,,,,1.27,,,,1.04,,,,0.73,,,,0.34,15.56
342464719,67190110861,2024.02.24,,,,0.2,,,,0.15,,,,0.15,,,,0.13,,,,0.15,,,,0.41,,,,0.75,,,,1.08,,,,1.12,,,,0.71,,,,0.55,,,,0.55,,,,0.47,,,,0.53,,,,0.47,,,,0.64,,,,0.79,,,,1.26,,,,1.48,,,,1.46,,,,1.25,,,,1.08,,,,0.57,,,,0.34,16.29
342464719,67190110861,2024.02.25,,,,0.21,,,,0.16,,,,0.17,,,,0.13,,,,0.2,,,,0.37,,,,0.77,,,,1.21,,,,1.1,,,,0.69,,,,0.59,,,,0.61,,,,0.49,,,,0.61,,,,0.58,,,,0.64,,,,0.71,,,,1.27,,,,1.38,,,,1.26,,,,1.25,,,,1.06,,,,0.79,,,,0.43,16.68
342464719,67190110861,2024.02.26,,,,0.23,,,,0.18,,,,0.16,,,,0.15,,,,0.22,,,,0.31,,,,1.0,,,,1.17,,,,1.03,,,,0.72,,,,0.6,,,,0.62,,,,0.6,,,,0.51,,,,0.51,,,,0.59,,,,0.95,,,,1.13,,,,1.54,,,,1.55,,,,1.44,,,,0.92,,,,0.74,,,,0.46,17.33
342464719,67190110861,2024.02.27,,,,0.19,,,,0.16,,,,0.18,,,,0.12,,,,0.2,,,,0.38,,,,0.8,,,,1.19,,,,1.01,,,,0.62,,,,0.54,,,,0.53,,,,0.47,,,,0.48,,,,0.57,,,,0.52,,,,0.78,,,,1.12,,,,1.63,,,,1.29,,,,1.46,,,,1.07,,,,0.59,,,,0.34,16.24
342464719,67190110861,2024.02.28,,,,0.19,,,,0.19,,,,0.15,,,,0.14,,,,0.17,,,,0.34,,,,0.91,,,,1.09,,,,0.93,,,,0.59,,,,0.49,,,,0.56,,,,0.52,,,,0.48,,,,0.56,,,,0.62,,,,0.76,,,,1.31,,,,1.41,,,,1.21,,,,1.16,,,,0.87,,,,0.67,,,,0.47,15.79
342464719,67190110861,2024.02.29,,,,0.14,,,,0.12,,,,0.12,,,,0.12,,,,0.13,,,,0.29,,,,0.61,,,,0.8,,,,0.88,,,,0.56,,,,0.35,,,,0.47,,,,0.42,,,,0.44,,,,0.4,,,,0.43,,,,0.61,,,,0.95,,,,1.09,,,,0.92,,,,0.95,,,,0.83,,,,0.47,,,,0.34,12.44
342464719,67190110861,2024.03.01,,,,0.19,,,,0.12,,,,0.12,,,,0.11,,,,0.15,,,,0.27,,,,0.71,,,,0.93,,,,0.88,,,,0.51,,,,0.43,,,,0.43,,,,0.48,,,,0.39,,,,0.35,,,,0.51,,,,0.61,,,,0.97,,,,1.1,,,,1.16,,,,0.99,,,,0.84,,,,0.47,,,,0.33,13.05
342464719,67190110861,2024.03.02,,,,0.19,,,,0.12,,,,0.12,,,,0.1,,,,0.14,,,,0.31,,,,0.69,,,,0.89,,,,0.85,,,,0.49,,,,0.43,,,,0.43,,,,0.45,,,,0.43,,,,0.43,,,,0.43,,,,0.64,,,,0.83,,,,1.16,,,,0.9,,,,0.94,,,,0.8,,,,0.5,,,,0.33,12.6
342464719,67190110861,2024.03.03,,,,0.16,,,,0.15,,,,0.11,,,,0.11,,,,0.13,,,,0.28,,,,0.72,,,,0.95,,,,0.87,,,,0.54,,,,0.46,,,,0.48,,,,0.41,,,,0.41,,,,0.37,,,,0.42,,,,0.63,,,,0.9,,,,1.28,,,,1.13,,,,1.06,,,,0.92,,,,0.6,,,,0.37,13.46
342464719,67190110861,2024.03.04,,,,0.19,,,,0.12,,,,0.11,,,,0.1,,,,0.15,,,,0.34,,,,0.64,,,,1.0,,,,0.73,,,,0.59,,,,0.46,,,,0.39,,,,0.43,,,,0.36,,,,0.39,,,,0.45,,,,0.67,,,,0.95,,,,1.19,,,,1.22,,,,1.15,,,,0.8,,,,0.55,,,,0.29,13.27
342464719,67190110861,2024.03.05,,,,0.15,,,,0.15,,,,0.12,,,,0.11,,,,0.14,,,,0.26,,,,0.7,,,,0.78,,,,0.86,,,,0.5,,,,0.48,,,,0.42,,,,0.35,,,,0.39,,,,0.48,,,,0.44,,,,0.61,,,,1.01,,,,1.02,,,,0.99,,,,1.0,,,,0.77,,,,0.59,,,,0.35,12.67
342464719,67190110861,2024.03.06,,,,0.17,,,,0.13,,,,0.13,,,,0.1,,,,0.15,,,,0.28,,,,0.69,,,,0.78,,,,0.81,,,,0.51,,,,0.46,,,,0.36,,,,0.44,,,,0.42,,,,0.41,,,,0.4,,,,0.51,,,,0.97,,,,1.18,,,,1.06,,,,0.93,,,,0.81,,,,0.57,,,,0.31,12.58
342464719,67190110861,2024.03.07,,,,0.19,,,,0.12,,,,0.12,,,,0.1,,,,0.13,,,,0.31,,,,0.71,,,,0.95,,,,0.67,,,,0.42,,,,0.47,,,,0.41,,,,0.37,,,,0.35,,,,0.35,,,,0.48,,,,0.52,,,,0.87,,,,1.11,,,,0.99,,,,0.86,,,,0.82,,,,0.47,,,,0.34,12.13
342464719,67190110861,2024.03.08,,,,0.15,,,,0.14,,,,0.13,,,,0.11,,,,0.14,,,,0.29,,,,0.63,,,,0.87,,,,0.88,,,,0.5,,,,0.44,,,,0.41,,,,0.41,,,,0.31,,,,0.42,,,,0.5,,,,0.54,,,,0.94,,,,1.1,,,,1.1,,,,0.82,,,,0.83,,,,0.55,,,,0.3,12.51
342464719,67190110861,2024.03.09,,,,0.18,,,,0.15,,,,0.13,,,,0.1,,,,0.13,,,,0.25,,,,0.79,,,,0.94,,,,0.81,,,,0.52,,,,0.41,,,,0.46,,,,0.35,,,,0.41,,,,0.34,,,,0.5,,,,0.65,,,,0.92,,,,0.97,,,,1.05,,,,0.95,,,,0.78,,,,0.47,,,,0.33,12.59
342464719,67190110861,2024.03.10,,,,0.18,,,,0.14,,,,0.13,,,,0.11,,,,0.15,,,,0.3,,,,0.85,,,,0.91,,,,0.93,,,,0.59,,,,0.43,,,,0.5,,,,0.37,,,,0.44,,,,0.42,,,,0.53,,,,0.72,,,,1.04,,,,1.38,,,,1.11,,,,0.83,,,,0.84,,,,0.51,,,,0.33,13.74
